<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.15	02:33:00	1.19555	1.19560	1.19553	1.19557	54	0	1
2021.03.15	02:34:00	1.19557	1.19561	1.19550	1.19554	55	0	1
2021.03.15	02:35:00	1.19555	1.19558	1.19536	1.19537	77	0	1
2021.03.15	02:36:00	1.19537	1.19542	1.19524	1.19527	67	0	1
2021.03.15	02:37:00	1.19529	1.19533	1.19524	1.19527	39	0	1
2021.03.15	02:38:00	1.19527	1.19528	1.19518	1.19523	57	0	1
2021.03.15	02:39:00	1.19523	1.19538	1.19523	1.19538	52	0	1
2021.03.15	02:40:00	1.19538	1.19543	1.19537	1.19538	29	0	1
2021.03.15	02:41:00	1.19538	1.19544	1.19538	1.19542	13	0	2
2021.03.15	02:42:00	1.19542	1.19542	1.19533	1.19534	27	0	1
2021.03.15	02:43:00	1.19538	1.19561	1.19538	1.19554	60	0	1
2021.03.15	02:44:00	1.19555	1.19555	1.19550	1.19552	15	0	2
2021.03.15	02:45:00	1.19553	1.19554	1.19543	1.19548	49	0	1
2021.03.15	02:46:00	1.19549	1.19554	1.19546	1.19554	18	0	1
2021.03.15	02:47:00	1.19554	1.19554	1.19541	1.19544	21	0	1
2021.03.15	02:48:00	1.19541	1.19548	1.19539	1.19540	33	0	1
2021.03.15	02:49:00	1.19540	1.19547	1.19538	1.19547	18	0	2
2021.03.15	02:50:00	1.19548	1.19553	1.19541	1.19542	24	0	1
2021.03.15	02:51:00	1.19542	1.19549	1.19535	1.19546	37	0	1
2021.03.15	02:52:00	1.19547	1.19552	1.19546	1.19547	33	0	1
2021.03.15	02:53:00	1.19547	1.19548	1.19537	1.19537	31	0	1
2021.03.15	02:54:00	1.19537	1.19539	1.19502	1.19515	97	0	1
2021.03.15	02:55:00	1.19515	1.19517	1.19498	1.19505	69	0	1
2021.03.15	02:56:00	1.19505	1.19511	1.19501	1.19507	55	0	1
2021.03.15	02:57:00	1.19506	1.19509	1.19503	1.19504	42	0	1
2021.03.15	02:58:00	1.19504	1.19519	1.19503	1.19518	55	0	1
2021.03.15	02:59:00	1.19517	1.19527	1.19512	1.19512	40	0	1
2021.03.15	03:00:00	1.19512	1.19518	1.19503	1.19517	118	0	1
2021.03.15	03:01:00	1.19517	1.19525	1.19517	1.19523	61	0	1
2021.03.15	03:02:00	1.19523	1.19540	1.19522	1.19537	47	0	1
2021.03.15	03:03:00	1.19537	1.19539	1.19527	1.19529	47	0	1
2021.03.15	03:04:00	1.19529	1.19542	1.19528	1.19542	41	0	1
2021.03.15	03:05:00	1.19542	1.19545	1.19537	1.19545	22	0	1
2021.03.15	03:06:00	1.19545	1.19546	1.19541	1.19544	22	0	1
2021.03.15	03:07:00	1.19545	1.19553	1.19542	1.19542	68	0	1
2021.03.15	03:08:00	1.19542	1.19548	1.19542	1.19547	38	0	1
2021.03.15	03:09:00	1.19547	1.19557	1.19533	1.19537	38	0	1
2021.03.15	03:10:00	1.19537	1.19544	1.19531	1.19537	25	0	1
2021.03.15	03:11:00	1.19538	1.19539	1.19532	1.19535	15	0	1
2021.03.15	03:12:00	1.19534	1.19547	1.19532	1.19542	34	0	1
2021.03.15	03:13:00	1.19541	1.19554	1.19541	1.19553	49	0	1
2021.03.15	03:14:00	1.19554	1.19566	1.19553	1.19563	41	0	1
2021.03.15	03:15:00	1.19564	1.19575	1.19563	1.19567	50	0	1
2021.03.15	03:16:00	1.19567	1.19575	1.19567	1.19575	27	0	1
2021.03.15	03:17:00	1.19575	1.19577	1.19574	1.19577	12	0	1
2021.03.15	03:18:00	1.19577	1.19607	1.19577	1.19601	57	0	1
2021.03.15	03:19:00	1.19601	1.19610	1.19595	1.19610	42	0	1
2021.03.15	03:20:00	1.19610	1.19613	1.19603	1.19610	55	0	1
2021.03.15	03:21:00	1.19610	1.19616	1.19603	1.19603	51	0	1
2021.03.15	03:22:00	1.19603	1.19608	1.19590	1.19595	42	0	1
2021.03.15	03:23:00	1.19595	1.19602	1.19592	1.19594	29	0	1
2021.03.15	03:24:00	1.19594	1.19599	1.19586	1.19586	38	0	1
2021.03.15	03:25:00	1.19586	1.19597	1.19584	1.19597	30	0	1
2021.03.15	03:26:00	1.19597	1.19608	1.19597	1.19601	38	0	1
2021.03.15	03:27:00	1.19600	1.19609	1.19592	1.19609	40	0	1
2021.03.15	03:28:00	1.19608	1.19646	1.19607	1.19643	83	0	1
2021.03.15	03:29:00	1.19644	1.19651	1.19640	1.19648	59	0	1
2021.03.15	03:30:00	1.19648	1.19674	1.19643	1.19659	86	0	1
2021.03.15	03:31:00	1.19657	1.19657	1.19633	1.19633	74	0	1
2021.03.15	03:32:00	1.19633	1.19633	1.19621	1.19626	81	0	1
2021.03.15	03:33:00	1.19626	1.19640	1.19626	1.19639	67	0	1
2021.03.15	03:34:00	1.19640	1.19647	1.19636	1.19642	58	0	1
2021.03.15	03:35:00	1.19641	1.19641	1.19632	1.19632	43	0	1
2021.03.15	03:36:00	1.19640	1.19641	1.19626	1.19635	41	0	1
2021.03.15	03:37:00	1.19635	1.19636	1.19629	1.19634	49	0	1
2021.03.15	03:38:00	1.19634	1.19634	1.19623	1.19623	22	0	1
2021.03.15	03:39:00	1.19625	1.19633	1.19619	1.19621	28	0	1
2021.03.15	03:40:00	1.19620	1.19624	1.19607	1.19609	61	0	1
2021.03.15	03:41:00	1.19608	1.19608	1.19597	1.19598	76	0	1
2021.03.15	03:42:00	1.19598	1.19602	1.19588	1.19588	81	0	1
2021.03.15	03:43:00	1.19588	1.19598	1.19587	1.19598	52	0	1
2021.03.15	03:44:00	1.19598	1.19601	1.19591	1.19595	52	0	1
2021.03.15	03:45:00	1.19594	1.19613	1.19590	1.19611	58	0	1
2021.03.15	03:46:00	1.19610	1.19617	1.19596	1.19596	32	0	1
2021.03.15	03:47:00	1.19597	1.19603	1.19594	1.19601	50	0	1
2021.03.15	03:48:00	1.19601	1.19601	1.19589	1.19595	50	0	1
2021.03.15	03:49:00	1.19596	1.19603	1.19596	1.19598	45	0	1
2021.03.15	03:50:00	1.19598	1.19604	1.19595	1.19603	39	0	1
2021.03.15	03:51:00	1.19603	1.19610	1.19600	1.19610	33	0	1
2021.03.15	03:52:00	1.19609	1.19609	1.19593	1.19599	65	0	1
2021.03.15	03:53:00	1.19599	1.19599	1.19588	1.19592	45	0	1
2021.03.15	03:54:00	1.19591	1.19595	1.19582	1.19583	57	0	1
2021.03.15	03:55:00	1.19584	1.19588	1.19572	1.19573	49	0	1
2021.03.15	03:56:00	1.19576	1.19583	1.19575	1.19582	74	0	1
2021.03.15	03:57:00	1.19583	1.19583	1.19580	1.19581	25	0	1
2021.03.15	03:58:00	1.19582	1.19587	1.19574	1.19574	23	0	1
2021.03.15	03:59:00	1.19575	1.19583	1.19575	1.19577	22	0	1
2021.03.15	04:00:00	1.19576	1.19580	1.19562	1.19562	59	0	1
2021.03.15	04:01:00	1.19563	1.19582	1.19563	1.19577	67	0	1
2021.03.15	04:02:00	1.19578	1.19604	1.19578	1.19599	71	0	1
2021.03.15	04:03:00	1.19599	1.19603	1.19593	1.19597	44	0	1
2021.03.15	04:04:00	1.19597	1.19614	1.19597	1.19612	53	0	1
2021.03.15	04:05:00	1.19612	1.19615	1.19607	1.19608	35	0	1
2021.03.15	04:06:00	1.19608	1.19609	1.19601	1.19605	45	0	1
2021.03.15	04:07:00	1.19605	1.19608	1.19599	1.19607	63	0	1
2021.03.15	04:08:00	1.19608	1.19609	1.19581	1.19581	77	0	1
